EMD_CD,ADM_CD,Cent_X,Cent_Y
1111051500,1101072,197317,453590
1111053000,1101053,197283,452428
1111054000,1101054,198264,453953
1111055000,1101055,196629,454937
1111056000,1101056,197219,456857
1111057000,1101057,196291,452825
1111058000,1101058,196767,452084
1111060000,1101060,198748,453382
1111061500,1101061,199030,452538
1111063000,1101063,200319,452287
1111064000,1101064,200192,453022
1111065000,1101065,199954,453855
1111066000,1101066,199328,453981
1111067000,1101067,201149,452235
1111068000,1101068,200832,452626
1111069000,1101069,201095,452960
1111070000,1101070,201420,452776
1111071000,1101071,201726,452467
1114052000,1102052,197659,451342
1114054000,1102054,197868,450528
1114055000,1102055,198540,451274
1114057000,1102057,199378,450513
1114058000,1102058,200123,450368
1114059000,1102059,200267,451432
1114060500,1102060,199624,451592
1114061000,1102061,201141,451496
1114062000,1102062,200664,450288
1114063000,1102063,200831,449741
1114064000,1102064,201275,450510
1114065000,1102065,201858,451265
1114066000,1102066,201578,450941
1114067000,1102067,201769,451806
1114068000,1102068,196919,450561
1117051000,1103051,198217,449740
1117052000,1103052,198478,448674
1117053000,1103053,197590,449230
1117055500,1103071,197016,449493
1117056000,1103072,196907,448471
1117057000,1103057,195617,447862
1117058000,1103058,196490,448975
1117059000,1103059,196261,448420
1117062500,1103073,197307,447424
1117063000,1103063,197370,446112
1117064000,1103064,195858,446781
1117065000,1103065,199333,447903
1117066000,1103066,199234,448834
1117068500,1103074,200445,448323
1117069000,1103069,199115,446565
1117070000,1103070,200049,447060
1120053500,1104071,202545,451617
1120052000,1104052,202378,451022
1120054000,1104054,203514,451712
1120055000,1104055,203936,450647
1120056000,1104056,203120,450752
1120057000,1104057,202547,450488
1120058000,1104058,202914,449859
1120059000,1104059,202129,450155
1120061500,1104072,201686,449896
1120062000,1104062,202089,449145
1120064500,1104073,201353,448862
1120065000,1104065,203558,448697
1120066000,1104066,203811,449654
1120067000,1104067,204823,448267
1120069000,1104068,205067,449256
1120072000,1104069,205737,450009
1120079000,1104070,205042,450704
1121571000,1105053,206394,449021
1121573000,1105054,206440,450091
1121574000,1105055,206799,451086
1121575000,1105056,207403,450739
1121576000,1105057,207176,451736
1121577000,1105058,208277,451294
1121578000,1105059,207155,449818
1121585000,1105060,207535,448806
1121586000,1105061,208291,449869
1121587000,1105062,208347,448099
1121581000,1105063,209211,449585
1121582000,1105064,207040,448194
1121583000,1105065,207289,447456
1121584000,1105066,206224,447720
1121584700,1105067,205567,447962
1123051000,1106051,202399,452382
1123053500,1106077,203018,452710
1123054000,1106054,203478,453582
1123055000,1106055,203019,453426
1123056000,1106056,204301,452642
1123057000,1106078,204497,453131
1123058000,1106058,205330,453153
1123060000,1106060,204810,452199
1123061000,1106061,205168,452181
1123062000,1106062,204415,452024
1123063000,1106063,205442,452037
1123065000,1106065,205682,451631
1123066000,1106066,206511,452462
1123067000,1106067,206275,451483
1123068000,1106068,206147,452798
1123070500,1106080,203928,454060
1123071000,1106071,204495,454632
1123072000,1106072,205448,454403
1123073000,1106073,205799,453793
1123074000,1106074,205686,455000
1123075000,1106075,205073,455015
1123076000,1106076,205890,455603
1126052000,1107052,206819,454116
1126054000,1107054,207557,452352
1126055000,1107055,206976,453402
1126057000,1107057,208125,452776
1126058000,1107059,207819,455511
1126059000,1107060,207340,454661
1126060000,1107061,207259,455578
1126061000,1107062,206568,455155
1126062000,1107064,207208,456827
1126063000,1107065,206522,456443
1126066000,1107068,209012,454393
1126068000,1107069,209153,456735
1126069000,1107070,208016,456527
1126056500,1107071,207831,454008
1126057500,1107072,208532,453600
1126065500,1107073,209423,455521
1129058000,1108058,202083,455243
1129059000,1108059,200957,454981
1129060000,1108060,202336,453888
1129061000,1108061,201620,453392
1129062000,1108062,201445,455688
1129063000,1108063,200656,455696
1129064000,1108064,199377,456651
1129065000,1108065,199508,457898
1129066000,1108066,201695,456218
1129068500,1108068,202328,456212
1129071500,1108071,203158,456167
1129072500,1108072,203925,455654
